TITCK_ID,TITCK_Ilac_Adi,ATC_Barkod,ATC_Kodu,ATC_Durumu,Match_Score
40,"1/3 İZODEKS (%3.33 DEKSTROZ %0,3 NACL SOLÜSYONU) (MEDIFLEKS)",8699606691990,B05BB02,Aktif,50.19
41,1/3 İZOTONİK SODYUM KLORÜR İZOTONİK DEKSTROZ ÇÖZELTİSİ,8699828690580,B05BB02,Aktif,61.11
42,5- FU INJECTION 250 MG/ 5 ML,8699828770237,L01BC02,Pasif,58.82
43,5-FLUOROURACIL 1000 MG/20 ML ENJEKTABL ÇÖZELTI IÇEREN FLAKON,8699205770034,L01BC02,Pasif,88.24
44,5-FLUOROURACIL 500 MG/10 ML ENJEKTABL ÇÖZELTI IÇEREN FLAKON,8699205770041,L01BC02,Pasif,80.25
45,5-FLUOROURACIL BIOSYN 1000 MG/20 ML AMPUL,8699643750032,L01BC02,Pasif,74.48
46,5-FLUOROURACIL BIOSYN 250 MG/5 ML AMPUL,8699643750032,L01BC02,Pasif,72.73
47,5-FLUOROURACIL BIOSYN 500 MG/10 ML AMPUL,8699643750032,L01BC02,Pasif,96.36
48,5-Frotu 1000 mg/20 ml Enjeksiyonluk Çözelti İçeren Flakon,8699525776242,L01BC02,Aktif,77.53
49,5-FROTU 500 MG/10 ML ENJEKSİYONLUK ÇÖZELTİ,8699650772331,L01BC02,Pasif,73.97
50,5-Frotu 5000 mg/100 ml Enjeksiyonluk Çözelti İçeren Flakon,8699650772331,L01BC02,Pasif,75.31
51,A-FERİN 1 MG+160 MG/5 ML PEDİATRİK ŞURUP,8699570570062,N02BE51,Aktif,62.7
52,A-FERİN 300 MG/2 MG/10 MG KAPSÜL,8699578152215,N02BE51,Aktif,54.35
53,A-FERIN FORTE 500 MG/4 MG FILM KAPLı TABLET,8683280337251,C09DA01,Aktif,61.36
54,A-FERİN FORTE 650 MG/4 MG FİLM KAPLI TABLET,8683280337251,C09DA01,Aktif,60.23
55,A-FERIN HOT TEK KULLANIMLIK TOZ IÇEREN POŞET,8699612240168,N02BE51,Pasif,64.62
56,A-FERİN PLUS 1 MG+15 MG+160 MG/5 ML PEDİYATRİK ŞURUP,8699570570147,N02BE51,Aktif,67.25
57,"A-FERIN SINÜS 500 MG/30 MG/1,25 MG FILM KAPLI TABLET",8680760090125,N02BE51,Aktif,57.49
58,A-FERİN ZERO 120 MG/5 ML PEDİATRİK ŞURUP,8699570570246,N02BE01,Aktif,79.07
59,A-FERİN ZERO 6 PLUS 250 MG/5 ML ORAL SüSPANSIYON,8699570700094,N02BE01,Aktif,77.63
60,A-NOX FORT 550 MG TABLET,8699651010210,M01AE02,Pasif,62.14
61,A-PER 10 MG/ML I.V. İNFÜZYONLUK ÇÖZELTİ,8699717690035,N02BE01,Pasif,64.23
62,A-PER 120 MG/5 ML PEDİATRİK ŞURUP,8699570570246,N02BE01,Aktif,79.63
63,A-PER 120 MG/5 ML PEDİATRİK ŞURUP,8699570570246,N02BE01,Aktif,79.63
64,"ABALEVO 1,5 MG TABLET",8681725054770,G03AD01,Aktif,65.04
65,ABAVİR 245 MG FİLM KAPLI TABLET,8699580090598,J05AF07,Aktif,70.27
66,ABDİ İBRAHİM MELATONİN 3 MG TABLET,8699680092065,N05CH01,Aktif,62.69
67,ABDİ İBRAHİM MELATONİN 5 MG TABLET,8699680092065,N05CH01,Aktif,61.19
68,ABELCET 100MG/20ML IV İNFÜZYON İÇIN SÜSPANSIYON İÇEREN FLAKON,8699783690168,J02AA01,Pasif,78.87
69,ABETYL 250 MG TABLET,8699514096641,L02BX03,Aktif,62.22
70,ABETYL 500 MG FILM KAPLı TABLET,8699514096641,L02BX03,Aktif,70.59
71,ABEXTIN 2MG/ML ORAL ÇÖZELTI,8699525595812,N06DA03,Pasif,58.21
72,ABHAYRAB 2.5 IU/0.5 MI IM/ID ENJEKSİYON İÇİN TOZ İÇEREN FLAKON,8681429550004,B02BD02,Aktif,64.76
73,ABHAYRAB 2.5 IU/0.5 ML IM/ID ENJEKSİYONLUK ÇÖZELTİ HAZIRLAMAK İÇİN LİYOFİLİZE TOZ VE ÇÖZÜCÜ,8681697790072,J01XA02,Pasif,56.74
74,ABİLİFY 1 MG/ML ORAL ÇÖZELTİ,8680683590023,N05AX12,Aktif,62.02
75,ABİLİFY 10 MG TABLET,8699502050075,N05AX12,Aktif,62.3
76,ABİLİFY 15 MG TABLET,8699502050082,N05AX12,Pasif,62.3
77,ABİLİFY 30 MG TABLET,8699502050075,N05AX12,Aktif,60.66
78,ABİLİFY 5 MG TABLET,8699502050082,N05AX12,Pasif,61.16
79,ABILIFY 7.5MG/ML IM ENJEKSIYONLUK ÇÖZELTI İÇEREN FLAKON,8680683780028,N05AX12,Aktif,64.84
80,ABİLİFY MAİNTENA 300 MG UZUN SALIMLI İM ENJEKSIYONLUK FLAKON,8680683780028,N05AX12,Aktif,71.72
81,ABİLİFY MAİNTENA 400 MG UZUN SALIMLI İM ENJEKSIYONLUK FLAKON,8680683780028,N05AX12,Aktif,72.73
82,ABIRATEX 250 MG TABLET,8699638095513,L02BX03,Pasif,61.95
83,ABITIGA 250 MG TABLET,8699638095513,L02BX03,Pasif,57.14
84,ABİZOL  1 MG/ ML ORAL ÇÖZELTİ,8699540570078,N05AX12,Aktif,75.0
85,ABIZOL 10 MG TABLET,8699540016668,N05AX12,Aktif,69.57
86,ABIZOL 15 MG TABLET,8699540016712,N05AX12,Aktif,69.57
87,ABIZOL 20 MG TABLET,8699540016767,N05AX12,Aktif,69.57
88,ABIZOL 30 MG TABLET,8699540016668,N05AX12,Aktif,67.39
89,ABIZOL 5 MG TABLET,8699540016712,N05AX12,Aktif,68.13
90,ABIZOL EASYTAB 10MG AĞIZDA DAĞILAN TABLET,8699262070030,N05AX12,Pasif,70.2
91,ABIZOL EASYTAB 10MG AĞIZDA DAĞILAN TABLET,8699262070030,N05AX12,Pasif,77.37
92,ABIZOL EASYTAB 15MG AĞIZDA DAĞILAN TABLET,8699262070047,N05AX12,Pasif,77.37
93,ABİZOL EASYTAB 5 MG AĞIZDA DAĞILAN TABLET,8699262070047,N05AX12,Pasif,78.83
94,ABPAX 40MG ENTERİK KAPLI TABLET,8697473040026,A02BC02,Pasif,61.43
95,ABRYSVO  0.5  ML  IM  ENJEKSIYONLUK  ÇöZELTI  HAZıRLAMAK İçIN TOZ VE ÇöZüCü,8681308961235,J07BX05,Aktif,54.37
96,ABSTRAL 100 MCG DİL ALTI TABLET,8699538055600,N02AB03,Pasif,60.87
97,ABSTRAL 200 MCG DİL ALTI TABLET,8699538055617,N02AB03,Pasif,60.87
98,ABSTRAL 400 MCG DİL ALTI TABLET,8699538055624,N02AB03,Pasif,60.87
99,ABSTRAL 800 MCG DİL ALTI TABLET,8699538055631,N02AB03,Pasif,60.87
100,ABYGA  500  MG  FİLM  KAPLI TABLET,8699525099532,L02BX03,Aktif,73.5
101,ABYGA 250 MG TABLET,8699638095513,L02BX03,Pasif,69.39
102,ACARIS 100MG TABLET,8699527011013,A06AB56,Pasif,57.43
103,ACARIS 50MG TABLET,8699797010070,A07BA01,Pasif,56.57
104,"ACCUSOL 35 HEMOFİLTRASYON, HEMODİYALİZ VE HEMODİYAFİLTRASYON İÇİN ÇÖZELTİ",8699788660135,B05Z,Pasif,53.95
105,"ACCUSOL 35 POTASYUM 2 MMOL/L HEMOFİLTRASYON, HEMODİYALİZ VE HEMODİYAFİLTRASYON İÇİN ÇÖZELTİ",8699788660111,B05Z,Pasif,51.61
106,"ACCUSOL 35 POTASYUM 4 MMOL/L HEMOFİLTRASYON, HEMODİYALİZ VE HEMODİYAFİLTRASYON İÇİN ÇÖZELTİ",8699788660111,B05Z,Pasif,52.53
107,"ACDKIDS  PLUS  2000  IU+  3333  IU+70  MG/ML  ORAL  DAMLA,  ÇöZELTI",8681911590020,A11JA,Aktif,58.78
108,ACE PLUS SELENYUM YUMUŞAK KAPSÜL,8699828190042,A11JC,Aktif,53.4
109,ACECAP  20/200/200  MG  YUMUşAK  KAPSüL,8699579190148,A11JA,Pasif,62.57
110,ACEFOR 10MG TABLET,8699586092398,M01AB16,Aktif,55.12
111,ACEFOR 20MG TABLET,8683060010107,N02BB02,Aktif,54.1
112,ACEPER 2 MG TABLET,8699293010074,C09BA04,Pasif,61.19
113,ACEPER 2MG TABLET,8699293010074,C09BA04,Pasif,57.14
114,ACEPER 4 MG TABLET,8699293010074,C09BA04,Pasif,59.7
115,ACEPER 4MG TABLET,8699293010043,C09AA04,Pasif,56.6
116,ACEPER 8 MG TABLET,8699293010074,C09BA04,Pasif,59.7
117,ACEPER 8MG TABLET,8699293010043,C09AA04,Pasif,56.6
118,ACEPER PLUS 2MG/0.625MG TABLET,8699293010074,C09BA04,Pasif,58.9
119,ACEPER PLUS 4MG/1.25MG TABLET,8699293010074,C09BA04,Pasif,62.07
120,ACEPRİX 1 MG FİLM TABLET,8699532094056,C09AA06,Pasif,60.19
121,"ACEPRİX 2,5 MG FİLM TABLET",8699532094056,C09AA06,Pasif,65.35
122,"ACEPRİX 2,5 MG FİLM TABLET",8699532094056,C09AA06,Pasif,65.35
123,ACEPRİX 5 MG FİLM TABLET,8699532094056,C09AA06,Pasif,62.63
124,ACEPRIX PLUS 5MG/12.5 MG FILM TABLET,8680199094855,C03EA01,Pasif,60.0
125,ACESCAP YUMUŞAK KAPSÜL,8699828190042,A11JC,Aktif,54.14
126,ACETUDİL  FORTE 60 MG KAPSÜL,8698856150103,M01AB11,Aktif,59.26
127,ACETUDIL 90 MG UZATILMIŞ SALIMLI SERT KAPSÜL,8699527150132,M01AB11,Aktif,68.97
128,ACİDPASS 10/800/165 MG ÇİĞNEME TABLETİ,8699680080093,A02BA53,Aktif,59.67
129,ACILIBRE 40MG IV ENJEKSIYONLUK LIYOFILIZE TOZ İÇEREN FLAKON,8680199001877,A02BC02,Aktif,75.71
130,ACLABON 5MG/100ML İNFÜZYON ÇÖZELTİSİ İÇEREN FLAKON,8699828690191,M05BA08,Pasif,84.06
131,ACLABON 5MG/100ML İNFÜZYON ÇÖZELTİSİ İÇEREN FLAKON,8699828690191,M05BA08,Pasif,72.0
132,ACLASTA 5 MG/ 100 ML IV İNFÜZYON ÇÖZELTISI İÇEREN FLAKON,8699844690885,M05BA08,Aktif,80.0
133,ACLASTA 5MG/100 ML İNFÜZYON ÇÖZELTISI İÇEREN FLAKON,8699536690025,M05BA08,Pasif,76.62
134,"ACLOREM %0,05 KREM",8681728350053,D07AB10,Pasif,50.42
135,"ACLOREM %0,05 MERHEM",8697933020377,M05BB03,Pasif,48.75
136,ACMEL 500 MG/5 ML IM/IV ENJEKSİYONLUK ÇÖZELTİ,8681332750010,A11GA01,Pasif,64.97
137,ACNEDUR % 3 MERHEM,8699587383136,D06AA04,Aktif,50.47
138,ACNEFFERIN %0.1 JEL,8699586096068,L04AA32,Aktif,48.35
139,ACNEGEN 10 MG YUMUŞAK JELATIN KAPSÜL,8699821190100,D10BA01,Aktif,70.07
140,ACNEGEN 20 MG YUMUŞAK JELATIN KAPSÜL,8699821190094,D10BA01,Aktif,70.07
141,ACNELYSE      %0.025    KREM,8699514350170,D10AD01,Aktif,60.0
142,ACNELYSE  % 0.05 KREM,8699514350170,D10AD01,Aktif,55.05
143,ACNELYSE  % 0.1 KREM,8699514355908,D10AD01,Aktif,50.0
144,ACNEMİX %5 + %3 JEL,8699514091967,M05BA07,Pasif,51.67
145,ACNEMYCIN %3 + %5 JEL,8699625960466,J07AJ52,Aktif,49.21
146,ACNEWELL  %  7.5  JEL,8699680340029,D10AX05,Aktif,57.89
147,ACNEWELL %5 JEL,8699680340029,D10AX05,Aktif,59.46
148,ACNOR 100 MG TABLET,8699809097681,C07AB03,Pasif,61.36
149,ACNOR 50 MG TABLET,8699569090427,A11GA01,Pasif,60.67
150,ACOMET 500 MG/100 ML IV İNFÜZYON İÇIN ÇÖZELTI İÇEREN FLAKON,8680080690111,J01MA12,Pasif,67.68
151,ACORT 15 MG/ 850 MG FİLM TABLET,8699772090832,A10BD05,Pasif,69.44
152,ACSERA 5 ML KONSANTRE ÇÖZELTI,8680222790228,J05AB01,Pasif,46.34
153,ACSONAT 35MG FILM TABLET,8680698090594,A10BH05,Aktif,53.95
154,ACT 100 MG TEK DOZLUK EFERVESAN GRANüL   İçEREN POşET,8699587241818,R05CB01,Pasif,64.6
155,ACT 200 MG TEK DOZLUK EFERVESAN GRANüL  İçEREN POşET,8699587241825,R05CB01,Pasif,64.6
156,ACT 300 MG/3  ML (%10) ENJEKSIYONLUK ÇöZELTI,8681332750010,A11GA01,Pasif,67.1
157,ACTEDAY 30MG FILM TABLET,8697930091554,M05BA07,Pasif,62.07
158,ACTEDAY 35 MG EFERVESAN TABLET,8697936021869,M05BX03,Pasif,60.66
159,ACTEDAY 35 MG FILM TABLET,8697930091530,M05BA07,Pasif,65.52
160,ACTEDAY 5 MG FİLM TABLET,8697930091530,M05BA07,Pasif,64.35
161,ACTEMRA  200  MG/10  ML  INFüZYONLUK  KONSANTRE ÇÖZELTİ,8699505762296,L04AC07,Aktif,68.89
162,ACTEMRA  400  MG/20  ML  INFüZYONLUK  KONSANTRE ÇÖZELTİ,8699505762319,L04AC07,Aktif,68.89
163,ACTEMRA  80  MG/4  ML  INFüZYONLUK  KONSANTRE  çöZELTI,8699505762272,L04AC07,Aktif,68.18
164,ACTEMRA 162 MG/0.9 ML SC ENJEKSİYONLUK ÇÖZELTİ İÇEREN KULLANIMA HAZIR ENJEKTÖR,8699505952840,L04AC07,Aktif,78.82
165,ACTIFED ŞURUP,8699522575176,R01BA52,Pasif,50.37
166,ACTIFED TABLET,8699839240071,N02BE51,Pasif,49.67
167,ACTILYSE 10 MG IV ENJEKSIYONLUK/İNFüZYONLUK ÇöZELTI İçIN TOZ VE  ÇöZüCü,8681281000235,J01DB04,Aktif,66.67
168,ACTILYSE 20 MG FLAKON,8699693790026,B01AD02,Aktif,57.43
169,ACTILYSE 50 MG IV ENJEKSIYONLUK/İNFüZYONLUK ÇöZELTI İçIN TOZ VE  ÇöZüCü,8680712270254,J01DB04,Aktif,65.64
170,ACTINOMA JEL %3,8699561340087,D11AX18,Aktif,58.7
171,ACTIQ 200MCG OROMUKOZAL APLIKATÖRLÜ PASTIL,8699804060109,N02AB03,Pasif,70.92
172,ACTIQ 400MCG OROMUKOZAL APLIKATÖRLÜ PASTIL,8699804060109,N02AB03,Pasif,69.5
173,ACTIQ 800MCG OROMUKOZAL APLIKATÖRLÜ PASTIL,8699804060109,N02AB03,Pasif,69.5
174,ACTIVELLE 1 MG/0.5 MG FILM KAPLı TABLET,8699586096051,L04AA32,Aktif,60.74
175,ACTIVELLE FILM TABLET,8699676090617,G03FA01,Aktif,52.78
176,ACTONEL 5 MG FILM TABLET,8699517092701,M05BA07,Pasif,77.65
177,ACTONEL 5 MG FILM TABLET,8699516090357,M05BA07,Pasif,62.3
178,ACTOS 15 MG TABLET,8682758010016,A10BG03,Aktif,72.09
179,ACTOS 30 MG TABLET,8682758010023,A10BG03,Aktif,70.97
180,ACTRAPID HM 100 IU/ML ENJEKSİYONLUK ÇÖZELTİ İÇEREN FLAKON,8680199768886,A16AX01,Pasif,64.95
181,ACTRAPİD HM PENFILL 100 IU/ML ENJEKSİYONLUK ÇÖZELTİ İÇEREN KARTUŞ,8699676950669,A10AB05,Pasif,66.06
182,ACUFİX %0.4 GÖZ DAMLASI,8699525610157,S01BC05,Aktif,72.16
183,"ACULAR LS % 0.4 GÖZ DAMLASI, ÇÖZELTİ",8699490561027,S01BC05,Aktif,62.99
184,"ACUVAİL %0.45 göz damlası, çözelti",8699490561027,S01BC05,Aktif,60.0
185,ACYL %5 KREM,8699561650032,D11AF,Aktif,51.33
186,ACYL TABLET 200 MG,8699543092355,A10BD07,Aktif,55.13
187,AD-COLD 200 mg/30 mg Film Tablet,8699642091235,M01AE51,Pasif,62.82
188,"ADACEL 0,5 ML IM ENJEKSİYONLUK SÜSPANSİYON İÇEREN FLAKON",8699522969388,J07BK03,Aktif,50.16
189,"ADACEL POLIO 0,5 ML IM ENJEKSİYON İÇİN SÜSPANSİYON İÇEREN KULLANIMA HAZIR ENJEKTÖR",8699522967575,J07CA02,Pasif,69.23
190,ADACLEAR %0.1 JEL,8699512008790,D10AD03,Aktif,60.0
191,"ADADERM %0,1 JEL",8699512008790,D10AD03,Aktif,69.33
192,ADALAT CRONO 30 MG KONTROLLÜ SALIM TABLETI,8699546031870,C08CA05,Aktif,75.91
193,ADALAT CRONO 60 MG KONTROLLÜ SALIM TABLETI,8699546032297,C08CA05,Pasif,75.91
194,ADAMAKS 200 MG/5 ML ORAL SÜSPANSİYON HAZIRLAMAK İÇİN TOZ,8683498330006,J01FA10,Pasif,70.79
195,ADAMAKS 500 MG FİLM KAPLI TABLET,8683498330013,J01FA10,Pasif,66.67
196,ADASUVE 9.1 mg inhalasyon için kullanımahazır toz,8680881559679,R03BB04,Pasif,54.97
197,ADCETRİS 50 MG IV İNFÜZYONLUK ÇÖZELTİ KONSANTRESİ İÇİN TOZ İÇEREN FLAKON,8699456790058,L01FX05,Aktif,76.02
198,ADDAMEL N İNTRAVENÖZ İNFÜZYON İÇIN KONSANTRE SOLÜSYON,8699809699120,L01XA03,Pasif,68.22
199,ADDAVEN IV İNFÜZYON İÇİN KONSANTRE SOLÜSYON,8699630768446,B05XA31,Pasif,65.22
200,ADELEKS 4 MG TABLET,8699541015226,M03BX05,Aktif,62.75
201,ADELEKS 8 MG TABLET,8699514030461,G04BD11,Aktif,53.95
202,ADELEKS IM 4 MG/2 ML AMPUL-(MEFAR),8699541751605,M03BX05,Aktif,64.46
203,ADELEKS IM 4 MG/2 ML AMPUL-(MUSTAFA NEVZAT),8699541751605,M03BX05,Aktif,58.91
204,ADEMPAS®  1 MG FILM KAPLı TABLET,8699546090211,C02KX05,Aktif,70.18
205,"ADEMPAS® 0,5 MG FILM KAPLı TABLET",8699546090198,C02KX05,Aktif,71.19
206,"ADEMPAS® 1,5 MG FILM KAPLı TABLET",8699546090235,C02KX05,Aktif,71.19
207,ADEMPAS® 2 MG FILM KAPLı TABLET,8699546090211,C02KX05,Aktif,70.18
208,"ADEMPAS® 2,5 MG FILM KAPLı TABLET",8699546090198,C02KX05,Aktif,71.19
209,ADENOSIN - L.M. 5 MG/ML I.V. ENJEKSIYON/İNFÜZYON İÇIN ÇÖZELTI İÇEREN AMPUL ? 2 ML,8699844750923,C01EB10,Pasif,75.13
210,ADENOSIN - L.M. 5 MG/ML I.V. ENJEKSIYON/İNFÜZYON İÇIN ÇÖZELTI İÇEREN FLAKON ? -50 ML,8699844750954,C01EB10,Aktif,76.24
211,ADENOSIN - L.M. 5 MG/ML I.V. ENJEKSIYON/İNFÜZYON İÇIN ÇÖZELTI İÇEREN FLAKON ? 10 ML,8699844750954,C01EB10,Aktif,77.23
212,ADENOTEK 6MG/2ML IV ENJEKSİYON VE İNFÜZYON İÇİN ÇÖZELTİ İÇEREN AMPUL,8699844750923,C01EB10,Pasif,76.19
213,ADENURİC 120 MG FİLM KAPLI TABLET,8699832090604,M04AA03,Aktif,72.73
214,ADENURİC 80 MG FİLM KAPLI TABLET,8699832090598,M04AA03,Aktif,70.59
215,ADEPİRON  1 G/2 ML IM/IV ENJEKSIYONLUK çöZELTI,8699587751881,N02BB02,Pasif,71.9
216,ADEPİRON  2.5 G/5 ML IM/IV ENJEKSIYONLUK çöZELTI,8699587751898,N02BB02,Pasif,72.61
217,ADEPİRON  500 MG TABLET,8699587011862,N02BB02,Pasif,67.86
218,ADEPIRON 2.5G75ML AMPUL,8699587011862,N02BB02,Pasif,56.64
219,ADEPİRON 250 MG/5 ML ŞURUP,8699587571854,N02BB02,Pasif,67.72
220,ADESAN 10 MG/2 ML IV  ENJEKSIYONLUK/İNFüZYONLUK ÇöZELTI,8697637750228,A03BA01,Pasif,67.03
221,ADESAN 6 MG/2 ML IV  ENJEKSIYONLUK/İNFüZYONLUK ÇöZELTI,8697637750242,A03BA01,Aktif,65.56
222,ADı: SERUM FIZYOLOJIK IZOTONIK 9 MG/ML AMPUL,8699607751556,B05XA03,Pasif,60.93
223,"ADMIRAZ 0,25 MG FILM KAPLI TABLET",8699074090967,L04AE03,Aktif,62.07
224,ADMIRAZ 2 MG FILM KAPLI TABLET,8699074090998,L04AE03,Aktif,60.43
225,ADONIS 100MG FILM KAPLI TABLET,8680080090829,G04BE03,Aktif,70.59
226,ADONIS 25MG FILM KAPLI TABLET,8680080090799,G04BE03,Pasif,66.67
227,ADONIS 50MG FILM KAPLI TABLET,8680080090799,G04BE03,Pasif,68.38
228,"ADOPORT® 0,5 MG KAPSüL",8699516154547,L04AD02,Aktif,59.81
229,ADOPORT® 1 MG KAPSüL,8699516154554,L04AD02,Aktif,58.25
230,ADOPORT® 5 MG KAPSüL,8699516154561,L04AD02,Aktif,58.25
231,ADOZİN 10 MG/2 ML İ.V. ENJEKSİYON VE İNFÜZYON İÇİN ÇÖZELTİ İÇEREN AMPUL,8699844750923,C01EB10,Pasif,78.31
232,ADOZİN 250 MG/50 ML İ.V. ENJEKSİYON VE İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,8699844750954,C01EB10,Aktif,80.0
233,ADOZİN 3 MG/ML IV ENJEKSİYONLUK ÇÖZELTİ İÇEREN AMPUL,8699844750923,C01EB10,Pasif,73.68
234,ADOZİN 50 MG/10 ML İ.V. ENJEKSİYON VE İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,8699844750947,C01EB10,Aktif,79.79
235,ADOZİN 6 MG/2 ML I.V. ENJEKSİYONLUK ÇÖZELTİ İÇEREN AMPUL,8699844750923,C01EB10,Pasif,71.76
236,ADRENALİN  0.5 MG/1ML ENJEKSİYONLUK ÇÖZELTİ,8680400770509,A12AA20,Aktif,58.25
237,ADRENALIN  BASE  0.25  MG/  ML  ENJEKSIYONLUK  ÇöZELTI,8697637750228,A03BA01,Pasif,66.27
238,ADRENALIN  CODEX  0.5  MG/  ML  ENJEKSIYONLUK  ÇöZELTI,8697637750242,A03BA01,Aktif,65.45
239,ADRENALİN  OSEL  1  MG/1  ML  IM/IV/SC  ENJEKSIYONLUK  ÇöZELTI,8697637750266,A03BA01,Aktif,66.26
240,"ADRENALİN 0,25MG/1ML ENJEKSİYONLUK ÇÖZELTİ",8699844750930,C01EB10,Aktif,56.84
241,ADRENALİN 1 MG/ML ENJEKSIYONLUK ÇöZELTI İçEREN AMPUL,8680400770684,H05BX02,Aktif,67.82
